question,answer
What entities can pass or make an 'existing law' before the commencement of a Constitution?,"Any Legislature, authority or person having power to make such a law, Ordinance, order, bye-law, rule or regulation"
What does the term 'Federal Court' refer to?,"The Federal Court constituted under the Government of India Act, 1935"
Under which act was the Federal Court constituted?,"The Federal Court was constituted under the Government of India Act, 1935"
What is included in the term 'goods'?,"All materials, commodities, and articles"
"What does the term for 'all materials, commodities, and articles' refer to?","The term for 'all materials, commodities, and articles' refers to 'goods'."
What is 'goods and services tax'?,"Any tax on supply of goods, or services or both except taxes on the supply of the alcoholic liquor for human consumption"
"What is a tax on the supply of goods, or services or both except taxes on the supply of the alcoholic liquor for human consumption called?",Goods and Services Tax
What does 'guarantee' include?,Any obligation undertaken before the commencement of this Constitution to make payments in the event of the profits of an undertaking falling short of a specified amount
What term refers to any obligation undertaken before the commencement of a constitution to make payments in the event of the profits of an undertaking falling short of a specified amount?,Guarantee
What does 'High Court' refer to?,Any Court which is deemed for the purposes of this Constitution to be a High Court
What is a court that is deemed for the purposes of a Constitution referred to as?,High Court
What is the definition of a 'High Court' in this context?,"A 'High Court' refers to any Court in the territory of India constituted or reconstituted under this Constitution as a High Court, and any other Court in the territory of India which may be declared by Parliament by law to be a High Court for all or any of the purposes of this Constitution."
Which courts are referred to as 'High Courts' under the Indian Constitution?,"A 'High Court' refers to any Court in the territory of India constituted or reconstituted under this Constitution as a High Court, and any other Court in the territory of India which may be declared by Parliament by law to be a High Court for all or any of the purposes of this Constitution."
What does 'Indian State' mean?,An 'Indian State' means any territory which the Government of the Dominion of India recognised as such a State.
Which entity recognises a territory as an 'Indian State'?,The Government of the Dominion of India recognises a territory as an 'Indian State'.
What does 'Part' refer to?,A 'Part' refers to a Part of this Constitution.
What is a 'Part' in the context of the Constitution?,A 'Part' refers to a Part of this Constitution.
What is the definition of a 'pension' in this context?,"A 'pension' means a pension, whether contributory or not, of any kind whatsoever payable to or in respect of any person, and includes retired pay so payable; a gratuity so payable and any sum or sums so payable by way of the return, with or without interest thereon or any other addition thereto, of subscriptions to a provident fund."
"What does a 'pension' include, whether it's contributory or not?","A 'pension' includes any kind of pension payable to or in respect of any person, retired pay so payable, a gratuity so payable, and any sum or sums payable by way of the return, with or without interest thereon or any other addition thereto, of subscriptions to a provident fund."
What does 'Proclamation of Emergency' refer to?,A 'Proclamation of Emergency' refers to a Proclamation issued under clause (1) of article 352.
Under which clause and article is a 'Proclamation of Emergency' issued?,A 'Proclamation of Emergency' is issued under clause (1) of article 352.
What is a 'public notification'?,"A 'public notification' means a notification in the Gazette of India, or, as the case may be, the Official Gazette of a State."
What does it mean when a notification is in the Gazette of India or the Official Gazette of a State?,"When a notification is in the Gazette of India or the Official Gazette of a State, it is referred to as a 'public notification'."
What is the definition of a 'railway'?,"A 'railway' does not include a tramway wholly within a municipal area, or any other line of communication wholly situate in one State and declared by Parliament by law not to be a railway."
What does the term 'railway' not include according to Parliament law?,"A 'railway' does not include a tramway wholly within a municipal area, or any other line of communication wholly situate in one State and declared by Parliament by law not to be a railway."
What does 'Ruler' mean in this context?,"A 'Ruler' means the Prince, Chief or other person who, at any time before the commencement of the Constitution (Twenty-sixth Amendment) Act, 1971, was recognised by the President as the Ruler of an Indian State or any person who, at any time before such commencement, was recognised by the President as the successor of such Ruler."
"Who is recognized by the President as the Ruler of an Indian State before the commencement of the Constitution (Twenty-sixth Amendment) Act, 1971?","The Prince, Chief or other person who, at any time before the commencement of the Constitution (Twenty-sixth Amendment) Act, 1971, was recognised by the President as the Ruler of an Indian State is referred to as 'Ruler' in this context."
What does 'Schedule' mean?,A 'Schedule' means a Schedule to this Constitution.
What does a Schedule to this Constitution refer to?,A Schedule to this Constitution refers to a 'Schedule'.
What are 'Scheduled Castes'?,"Scheduled Castes' means such castes, races or tribes or parts of or groups within such castes, races or tribes as are deemed under article 341 to be Scheduled Castes for the purposes of this Constitution."
"Which article deems certain castes, races or tribes or parts of or groups within such castes, races or tribes to be Scheduled Castes for the purposes of the Constitution?",Article 341
What are 'Scheduled Tribes'?,Scheduled Tribes' means such tribes or tribal communities or parts of or groups within such tribes or tribal communities.
What is the term for such tribes or tribal communities or parts of or groups within such tribes or tribal communities?,The term for such tribes or tribal communities or parts of or groups within such tribes or tribal communities is 'Scheduled Tribes'.
What does the term 'Scheduled Tribes' refer to as per article 342 of the constitution?,Scheduled Tribes are those that are deemed under article 342 for the purposes of the Constitution.
Under which article of the Constitution are the Scheduled Tribes deemed for its purposes?,The Scheduled Tribes are deemed under article 342 of the Constitution for its purposes.
What does 'securities' include according to the constitutional definition?,'Securities' includes stock.
What is included in the term 'securities' according to the constitutional definition?,Stock is included in the term 'securities'.
What is the definition of 'Services' in the constitution?,'Services' means anything other than goods.
What does the term 'Services' defined as anything other than goods refer to in a legal context?,"In the constitution, 'Services' is defined as anything other than goods."
"What does the term 'State' refer to in articles 246A, 268, 269, 269A and article 279A?",'State' with reference to these articles includes a Union territory with Legislature.
"Which territories does the term 'State' include in the context of articles 246A, 268, 269, 269A and article 279A?",The term 'State' includes a Union territory with Legislature.
What does 'socially and educationally backward classes' mean as per the constitution?,It means such backward classes as are so deemed under article 342A for the purposes of this Constitution.
Which article of the constitution deems certain classes as 'socially and educationally backward' for the purposes of the Constitution?,Article 342A of the Constitution deems certain classes as 'socially and educationally backward'.
What is the meaning of 'sub-clause' in the constitution?,'Sub-clause' means a sub-clause of the clause in which the expression occurs.
What does 'sub-clause' refer to when used in a clause?,'Sub-clause' refers to a sub-clause of the clause in which the expression occurs.
What is included in the term 'taxation' as per the constitution?,"'Taxation' includes the imposition of any tax or impost, whether general or local or special, and 'tax' shall be construed accordingly."
What does the term 'taxation' include according to its constitutional definition?,"'Taxation' includes the imposition of any tax or impost, whether general or local or special, and 'tax' shall be construed accordingly."
What does 'tax on income' include?,'Tax on income' includes a tax in the nature of an excess profits tax.
What is an example of a tax that 'tax on income' might include?,An example of a tax that 'tax on income' might include is a tax in the nature of an excess profits tax.
What is included in 'tax on the sale or purchase of goods'?,"It includes a tax on the transfer of property in goods for cash, deferred payment or other valuable consideration, a tax on the delivery of goods on hire-purchase or any system of payment by installments, a tax on the transfer of the right to use any goods for any purpose for cash, deferred payment or other valuable consideration, a tax on the supply of goods by any unincorporated association or body of persons to a member thereof for cash, deferred payment or other valuable consideration, a tax on the supply, by way of or as part of any service or in any other manner whatsoever, of goods, being food or any other article for human consumption or any drink, where such supply or service, is for cash, deferred payment or other valuable consideration. Such transfer, delivery or supply of any goods shall be deemed to be a sale of those goods by the person making the transfer."
"What does the tax on the transfer of property in goods for cash, deferred payment or other valuable consideration, a tax on the delivery of goods on hire-purchase or any system of payment by installments, a tax on the transfer of the right to use any goods for any purpose for cash, deferred payment or other valuable consideration, a tax on the supply of goods by any unincorporated association or body of persons to a member thereof for cash, deferred payment or other valuable consideration, a tax on the supply, by way of or as part of any service or in any other manner whatsoever, of goods, being food or any other article for human consumption or any drink, where such supply or service, is for cash, deferred payment or other valuable consideration, refer to?","It refers to 'tax on the sale or purchase of goods'. Such transfer, delivery or supply of any goods shall be deemed to be a sale of those goods by the person making the transfer."
What does 'Union territory' refer to?,Any Union territory specified in the First Schedule and includes any other territory comprised within the territory of India but not specified in that Schedule.
What is included in the term 'Union territory' according to the First Schedule in the territory of India?,Any Union territory specified in the First Schedule and includes any other territory comprised within the territory of India but not specified in that Schedule.
What document is used for the interpretation of the Constitution?,"The General Clauses Act, 1897."
"What is the purpose of The General Clauses Act, 1897?",It is used for the interpretation of the Constitution.
What does the term 'foreign State' refer to in the context of this Constitution?,Any State other than India.
"In the context of this Constitution, which country is not considered a 'foreign State'?",India
What power does the Parliament have regarding the Constitution?,"Parliament may in exercise of its constituent power amend by way of addition, variation or repeal any provision of this Constitution in accordance with the procedure laid down in this article."
What can the Parliament do to the Constitution in accordance with the procedure laid down in the Constitution's article?,"Parliament may in exercise of its constituent power amend by way of addition, variation or repeal any provision of this Constitution."
How can an amendment of the Constitution be initiated?,"An amendment of this Constitution may be initiated only by the introduction of a Bill for the purpose in either House of Parliament, and when the Bill is passed in each House by a majority of the total membership of that House and by a majority of not less than two-thirds of the members of that House present and voting, it shall be presented to the President who shall give his assent."
What happens after a Bill to amend the Constitution is passed in each House of Parliament by a majority of the total membership of that House and by a majority of not less than two-thirds of the members of that House present and voting?,"After the Bill is passed in each House of Parliament, it is presented to the President who shall give his assent."
What happens if an amendment seeks to make changes in certain articles or chapters of the constitution?,The amendment requires to be ratified by the Legislatures of not less than one-half of the States by resolutions to that effect passed by those Legislatures before the Bill making provision for such amendment is presented to the President for assent.
What is the process for an amendment that seeks to change certain articles or chapters of the constitution before it is presented to the President for assent?,The amendment requires to be ratified by the Legislatures of not less than one-half of the States by resolutions to that effect passed by those Legislatures.
Does article 13 apply to any amendment made under this article?,"No, nothing in article 13 shall apply to any amendment made under this article."
Does anything in article 13 apply to any amendment made under the same article?,"No, nothing in article 13 shall apply to any amendment made under this article."
Can amendments of the Constitution be called into question in any court?,"No, no amendment of the Constitution shall be called in question in any court on any ground."
Is there any ground on which an amendment of the Constitution can be called into question in court?,"No, no amendment of the Constitution shall be called in question in any court on any ground."
Is there any limitation on the power of Parliament to amend the Constitution?,"No, there is no limitation whatever on the constituent power of Parliament to amend by way of addition, variation or repeal the provisions of this Constitution under this article."
"Does the constituent power of Parliament to amend by way of addition, variation or repeal the provisions of the Constitution under this article have any limitations?","No, there is no limitation whatever on the power of Parliament to amend the Constitution."
What was the verdict of the court in the case of Minerva Mills Ltd. and Others Vs. Union of India and Others?,This section has been declared invalid by the Supreme Court in Minerva Mills Ltd. and Others Vs. Union of India and Others.
Which section was declared invalid by the Supreme Court in the case of Minerva Mills Ltd. and Others Vs. Union of India and Others?,The verdict of the court was that this section has been declared invalid.
What is the temporary power given to Parliament under section 369?,Parliament has the temporary power to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List for a period of five years from the commencement of this Constitution.
"What does the Constitution allow Parliament to do for a period of five years from its commencement, in relation to the State List and the Concurrent List?","Under section 369, Parliament is given the temporary power to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List."
What matters can laws be made about according to the text?,"Trade and commerce within a State, production, supply and distribution of cotton and woollen textiles, raw cotton, cotton seed, paper, food-stuffs, cattle fodder, coal, iron, steel and mica."
"According to the text, can laws be made about the trade and commerce within a State, production, supply and distribution of cotton and woollen textiles, raw cotton, cotton seed, paper, food-stuffs, cattle fodder, coal, iron, steel and mica?","Yes, laws can be made about these matters."
What does clause (b) refer to?,"Offences against laws with respect to any of the matters mentioned in clause (a), jurisdiction and powers of all courts except the Supreme Court with respect to any of those matters, and fees in respect of any of those matters but not including fees taken in any court."
"What does the reference to 'offences against laws with respect to any of the matters mentioned in clause (a), jurisdiction and powers of all courts except the Supreme Court with respect to any of those matters, and fees in respect of any of those matters but not including fees taken in any court' correspond to in the context?",It refers to clause (b)
What happens to a law made by Parliament that it would not have been competent to make without the provisions of this article?,"It shall cease to have effect on the expiration of the said period, except as respects things done or omitted to be done before the expiration thereof."
"What happens to a law made by Parliament, which was not competent to make without the provisions of a certain article, after the expiration of the said period?","It shall cease to have effect, except as respects things done or omitted to be done before the expiration thereof."
What are the temporary provisions with respect to the State of Jammu and Kashmir?,The provisions of article 238 shall not apply in relation to the State of Jammu and Kashmir.
Which article's provisions do not apply in relation to the State of Jammu and Kashmir?,The provisions of article 238 do not apply in relation to the State of Jammu and Kashmir.
"What modification was made to article 370 on the 17th day of November, 1952?","The said art. 370 shall be operative with the modification that for the Explanation in cl. (1) thereof, the following Explanation is substituted."
What was the modification made to the Explanation in clause (1) of article 370?,"The following Explanation was substituted for the original one on the 17th day of November, 1952."
What is the power of Parliament to make laws for the said State limited to?,"The power of Parliament to make laws for the said State is limited to those matters in the Union List and the Concurrent List which, in consultation with the Government of the State, are declared by the President to correspond to matters specified in the Instrument of Accession governing the accession of the State to the Dominion of India as the matters with respect to which the Dominion Legislature may make laws for that State; and such other matters in the said Lists as, with the concurrence of the Government of the State, the President may by order specify."
"What matters are the Parliament's ability to make laws for a state limited to, and who must agree to these matters?","The Parliament's ability to make laws for a state are limited to matters in the Union List and the Concurrent List. These matters must be declared by the President to correspond to matters specified in the Instrument of Accession governing the state's accession to the Dominion of India. The President may also specify other matters in the said Lists, but this requires the concurrence of the State Government."
What does the Government of the State mean for the purposes of this article?,"For the purposes of this article, the Government of the State means the person for the time being recognised by the President as the Maharaja of Jammu and Kashmir acting on the advice of the Council of Ministers for the time being in office under the Maharaja’s Proclamation dated the fifth day of March, 1948."
"Who is considered as the Government of the State in the context of the Maharaja of Jammu and Kashmir acting on the advice of the Council of Ministers under the Maharaja’s Proclamation dated the fifth day of March, 1948?","For the purposes of this article, the Government of the State is the person for the time being recognised by the President as the Maharaja of Jammu and Kashmir."
Which provisions of the Constitution apply in relation to that State?,The provisions of article 1 and of this article shall apply in relation to that State; such of the other provisions of this Constitution shall apply in relation to that State subject to such exceptions and modifications as the President may by order specify.
What articles of the Constitution apply to a specific State and what modifications can be made?,"The articles of the Constitution that apply to a specific State are article 1 and the article in question. The other provisions of the Constitution may also apply, subject to exceptions and modifications that the President may specify by order."
Under what conditions can an order which relates to the matters specified in the Instrument of Accession of the State be issued?,An order which relates to the matters specified in the Instrument of Accession of the State can be issued only in consultation with the Government of the State.
Who must be consulted before issuing an order which relates to the matters specified in the Instrument of Accession of the State?,The Government of the State must be consulted before issuing such an order.
Under what conditions can an order which relates to matters other than those referred to in the last preceding proviso be issued?,An order which relates to matters other than those referred to in the last preceding proviso can be issued only with the concurrence of that Government.
What is required for an order relating to matters other than those referred to in the last preceding proviso to be issued?,Only with the concurrence of that Government can such an order be issued.
What does the Constituent Assembly do before convening the framing of the Constitution of the State?,The Constituent Assembly places it before such Assembly for such decision as it may take thereon.
What does the Constituent Assembly do with the Constitution of the State before it is framed?,The Constituent Assembly places it before such Assembly for such decision as it may take thereon.
Under what conditions may the President declare that an article shall cease to be operative or be operative only with exceptions and modifications?,The President may declare this after the recommendation of the Constituent Assembly of the State referred to in clause (2).
Who must recommend for the President to declare that an article shall cease to be operative or be operative only with exceptions and modifications?,The Constituent Assembly of the State referred to in clause (2) must recommend.
What special provisions does the President have with respect to the States of Maharashtra and Gujarat?,"The President may provide for any special responsibility of the Governor for the establishment of separate development boards, the equitable allocation of funds for developmental expenditure, and an equitable arrangement providing adequate facilities for technical education and vocational training and employment opportunities."
What responsibilities can the President assign to the Governor for the states of Maharashtra and Gujarat?,"The President can assign the Governor special responsibilities, including the establishment of separate development boards, the equitable allocation of funds for developmental expenditure, and an equitable arrangement providing adequate facilities for technical education and vocational training and employment opportunities."
What are the special provisions with respect to the State of Nagaland?,"No Act of Parliament in respect of religious or social practices of the Nagas, Naga customary law and procedure, and administration of civil and criminal justice."
What does the Act of Parliament not regulate in the State of Nagaland?,"Religious or social practices of the Nagas, Naga customary law and procedure, and administration of civil and criminal justice."
What applies to the State of Nagaland according to Naga customary law?,Ownership and transfer of land and its resources apply to the State of Nagaland according to Naga customary law.
"According to Naga customary law, what applies to the ownership and transfer of land and its resources?",It applies to the State of Nagaland.
What responsibility does the Governor of Nagaland have with respect to law and order?,"The Governor of Nagaland has special responsibility with respect to law and order in the State of Nagaland, particularly during periods of internal disturbances."
"Who has special responsibility with respect to law and order in the State of Nagaland, particularly during periods of internal disturbances?","The Governor of Nagaland has special responsibility with respect to law and order in the State of Nagaland, particularly during periods of internal disturbances."
What is the role of the Governor's discretion in the exercise of his duties?,The Governor's discretion is final in determining whether a matter is one in which he is required to act in the exercise of his individual judgment. The validity of anything done by the Governor cannot be questioned on the grounds of his discretion.
Is the Governor's discretion final in determining whether a matter requires his individual judgment and can the validity of anything done by the Governor be questioned on the grounds of his discretion?,"Yes, the Governor's discretion is final in determining whether a matter is one in which he is required to act in the exercise of his individual judgment. No, the validity of anything done by the Governor cannot be questioned on the grounds of his discretion."
Under what conditions can the Governor of Nagaland cease to have special responsibility with respect to law and order?,"The President can order the Governor of Nagaland to cease having special responsibility with respect to law and order if he is satisfied, based on a report from the Governor or otherwise, that it is no longer necessary."
"Who has the power to order the Governor of Nagaland to cease having special responsibility for law and order, and under what circumstances?","The President has the power to order the Governor of Nagaland to cease having special responsibility for law and order, specifically when he is satisfied, based on a report from the Governor or otherwise, that it is no longer necessary."
What should the Governor of Nagaland ensure when making his recommendation with respect to any demand for a grant?,The Governor of Nagaland should ensure that any money provided by the Government of India out of the Consolidated Fund of India for any specific service or purpose is included in the demand for a grant relating to that service or purpose and not in any other demand.
What should the Governor of Nagaland ensure about the money provided by the Government of India from the Consolidated Fund of India for any specific service or purpose?,The Governor of Nagaland should ensure that this money is included in the demand for a grant relating to that service or purpose and not in any other demand when making his recommendation.
What is the regional council for the Tuensang district composed of?,The regional council for the Tuensang district is composed of thirty-five members.
How many members are there in the regional council for the Tuensang district?,There are thirty-five members in the regional council for the Tuensang district.
Who shall be the Chairman of the regional council for the Tuensang district?,The Deputy Commissioner of the Tuensang district shall be the Chairman ex officio of the regional council.
Who is the Chairman ex officio of the regional council for the Tuensang district?,The Deputy Commissioner of the Tuensang district is the Chairman ex officio of the regional council.
Who elects the Vice-Chairman of the regional council?,The Vice-Chairman of the regional council is elected by the members thereof from amongst themselves.
Who are the Vice-Chairman of the regional council elected by?,The Vice-Chairman of the regional council is elected by the members thereof from amongst themselves.
What does the Governor provide rules for in relation to the regional council?,"The Governor provides rules for the composition of the council, qualifications for members, term of office, salaries and allowances, procedure and conduct of business, appointment of officers and staff and their conditions of service, and any other matters necessary for the constitution and proper functioning of the council."
What aspects does the Governor's rules for the regional council cover?,"The Governor's rules for the regional council cover the composition of the council, qualifications for members, term of office, salaries and allowances, procedure and conduct of business, appointment of officers and staff and their conditions of service, and any other matters necessary for the constitution and proper functioning of the council."
Who will administer the Tuensang district for a period of ten years from the date of the formation of the State of Nagaland?,The Governor will administer the Tuensang district for a period of ten years from the date of the formation of the State of Nagaland.
Who will administer the Tuensang district for a period of ten years from the date of the formation of the State of Nagaland?,The Governor
Who decides the allocation of money provided by the Government of India to the Government of Nagaland?,"The Governor, in his discretion, arranges for an equitable allocation of that money between the Tuensang district and the rest of the State."
Who arranges for an equitable allocation of the money provided by the Government of India between the Tuensang district and the rest of the State of Nagaland?,"The Governor, in his discretion, decides the allocation of that money."
Under what conditions does an Act of the Legislature of Nagaland apply to Tuensang district?,"No Act of the Legislature of Nagaland shall apply to Tuensang district unless the Governor, on the recommendation of the regional council, by public notification so directs."
Who needs to direct that an Act of the Legislature of Nagaland applies to Tuensang district and under what recommendation?,The Governor needs to direct it on the recommendation of the regional council.
What modifications can be made to the application of the act in the Tuensang district?,The act may be subject to exceptions or modifications as the Governor may specify on the recommendation of the regional council.
Who can specify exceptions or modifications to the act in the Tuensang district and on whose recommendation?,The Governor can specify exceptions or modifications to the act on the recommendation of the regional council.
Who can make regulations for the Tuensang district?,The Governor can make regulations for the Tuensang district.
For which district can the Governor make regulations?,The Governor can make regulations for the Tuensang district.
Who shall be appointed Minister for Tuensang affairs?,One of the members representing the Tuensang district in the Legislative Assembly of Nagaland shall be appointed Minister for Tuensang affairs by the Governor on the advice of the Chief Minister.
Who appoints the Minister for Tuensang affairs and who is eligible for this position?,The Governor appoints one of the members representing the Tuensang district in the Legislative Assembly of Nagaland as the Minister for Tuensang affairs on the advice of the Chief Minister.
Who has final say on all matters relating to the Tuensang district?,The final decision on all matters relating to the Tuensang district shall be made by the Governor in his discretion.
Who makes the final decision on all matters relating to the Tuensang district?,The Governor in his discretion has final say on all matters relating to the Tuensang district.
"In articles 54 and 55 and clause (4) of article 80, who do the references to the elected members of the Legislative Assembly of a State include?",The references include the members or member of the Legislative Assembly of Nagaland elected by the regional council established under this article.
Who are the members or member of the Legislative Assembly of Nagaland elected by the regional council established under this article referred to in articles 54 and 55 and clause (4) of article 80?,The references are to the elected members of the Legislative Assembly of a State.
What is the effect of clause (1) in article 170 in relation to the Legislative Assembly of Nagaland?,"Clause (1) shall have effect as if for the word 'sixty', the word 'forty-six' had been substituted."
What is substituted for the word 'sixty' in clause (1) of article 170 in relation to the Legislative Assembly of Nagaland?,The word 'forty-six' is substituted for the word 'sixty'.
What does the reference to direct election from territorial constituencies in the state in the said clause of article 170 include?,It includes election by the members of the regional council.
What does the election by the members of the regional council refer to in the context of direct election from territorial constituencies in the state as per the clause of article 170?,It refers to the reference to direct election from territorial constituencies in the state in the said clause of article 170.
What does the President have the authority to do if difficulties arise in implementing the provisions of this article?,The President may by order do anything (including any adaptation or modification of any other article) which appears to him to be necessary for the purpose of removing that difficulty.
What can the President do by order when he identifies a necessity to remove a difficulty in implementing the provisions of an article?,The President may do anything (including any adaptation or modification of any other article) which appears to him to be necessary for the purpose of removing that difficulty.
What is the time limit for the President to make such an order?,No such order shall be made after the expiration of three years from the date of the formation of the State of Nagaland.
When does the time limit for the President to make such an order expire in relation to the formation of the State of Nagaland?,The time limit for the President to make such an order expires three years after the date of the formation of the State of Nagaland.
What special provision is given with respect to the State of Assam?,"The President may, by order made with respect to the State of Assam, provide for the constitution and functions of a committee of the Legislative Assembly of the State consisting of members of that Assembly elected from the tribal areas specified in Part I of the table appended to paragraph 20 of the Sixth Schedule."
What can the President provide for the State of Assam by order made with respect to it?,The President can provide for the constitution and functions of a committee of the Legislative Assembly of the State consisting of members of that Assembly elected from the tribal areas specified in Part I of the table appended to paragraph 20 of the Sixth Schedule.
What special provision is given with respect to the State of Manipur?,"The President may, by order made with respect to the State of Manipur, provide for the constitution and functions of a committee of the Legislative Assembly of the State consisting of members of that Assembly elected from the Hill Areas of that State."
What can the President do with respect to the constitution and functions of a committee of the Legislative Assembly of Manipur?,"The President may, by order made with respect to the State of Manipur, provide for the constitution and functions of a committee of the Legislative Assembly of the State consisting of members of that Assembly elected from the Hill Areas of that State."
What does the Governor do annually or when required by the President?,The Governor makes a report to the President regarding the administration of the Hill Areas in the State of Manipur.
"To whom does the Governor of Manipur report about the administration of the Hill Areas in the State, annually or when required?",The Governor of Manipur makes a report to the President.
What power does the Union have regarding the Hill Areas?,The executive power of the Union extends to giving directions to the State as to the administration of the said areas.
To whom does the Union's executive power extend in the administration of the Hill Areas?,The Union's executive power extends to giving directions to the State.
What does the term 'Hill Areas' refer to?,"The term 'Hill Areas' refers to areas that the President may, by order, declare to be Hill areas."
Who has the authority to declare areas as 'Hill Areas'?,The President has the authority to declare areas as 'Hill Areas'.
What can the President provide for the State of Andhra Pradesh?,The President can provide for equitable opportunities and facilities for the people belonging to different parts of the State in terms of public employment and education.
What can the President do to ensure equitable opportunities and facilities for the people belonging to different parts of a State in terms of public employment and education?,The President can provide for the State of Andhra Pradesh.
What can an order made under clause (1) specify for the State of Andhra Pradesh?,"The order can require the State Government to organise any class or classes of posts in a civil service or any class or classes of civil posts under the State into different local cadres for different parts of the State. It can also specify the local area for direct recruitment to posts in any local cadre under the State Government, for direct recruitment to posts in any cadre under any local authority within the State, and for the purposes of admission to any University within the State or to any other educational institution which is subject to the control of the State Government."
"What does the order requiring the State Government of Andhra Pradesh to organise any class or classes of posts in a civil service or any class or classes of civil posts under the State into different local cadres for different parts of the State, and specifying the local area for direct recruitment to posts in any local cadre under the State Government, for direct recruitment to posts in any cadre under any local authority within the State, and for the purposes of admission to any University within the State or to any other educational institution which is subject to the control of the State Government, made under clause (1)?",This order can be made under clause (1).
What is the preference or reservation given to in the matter of direct recruitment?,Preference or reservation is given to candidates who have resided or studied for any period specified in the order in the local area in respect of such cadre.
Who are the candidates given preference or reservation in the matter of direct recruitment?,Candidates who have resided or studied for any period specified in the order in the local area in respect of such cadre are given preference or reservation.
What can the President provide for the constitution of in the State of Andhra Pradesh?,The President may provide for the constitution of an Administrative Tribunal.
Who may provide for the constitution of an Administrative Tribunal in the State of Andhra Pradesh?,The President
"What jurisdiction, powers, and authority can the Administrative Tribunal exercise?","The Administrative Tribunal can exercise any jurisdiction, power and authority which immediately before the commencement of the Constitution (Thirty-second Amendment) Act, 1973, was exercisable by any court (other than the Supreme Court) or by any tribunal or other authority."
"What jurisdiction, power and authority was exercisable by any court (other than the Supreme Court) or by any tribunal or other authority immediately before the commencement of the Constitution (Thirty-second Amendment) Act, 1973?","The jurisdiction, power and authority that was exercisable by any court (other than the Supreme Court) or by any tribunal or other authority immediately before the commencement of the Constitution (Thirty-second Amendment) Act, 1973, can now be exercised by the Administrative Tribunal."
What matters does the jurisdiction of the Administrative Tribunal for the State of Andhra Pradesh cover?,"The jurisdiction of the Administrative Tribunal covers appointment, allotment or promotion to certain classes of posts in any civil service of the State, seniority of persons appointed, allotted or promoted to such classes of posts, and other conditions of service of persons appointed, allotted or promoted to such classes of posts."
"What does the appointment, allotment or promotion to certain classes of posts in any civil service of the State, seniority of persons appointed, allotted or promoted to such classes of posts, and other conditions of service of persons appointed, allotted or promoted to such classes of posts pertain to?",These matters pertain to the jurisdiction of the Administrative Tribunal for the State of Andhra Pradesh.
What is the preference or reservation given to in the matter of admission to any such University or other educational institution?,Preference or reservation is given to candidates who have resided or studied for any period specified in the order in the local area in respect of such University or other educational institution.
Who is given preference or reservation in the matter of admission to any University or other educational institution?,Candidates who have resided or studied for any period specified in the order in the local area in respect of such University or other educational institution are given preference or reservation.
What can an order made under clause (3) of The Constitution of India authorize the Administrative Tribunal to do?,The order can authorise the Administrative Tribunal to receive representations for the redress of grievances relating to any matter within its jurisdiction as the President may specify in the order and to make such orders thereon as the Administrative Tribunal deems fit.
"What does the order authorize the Administrative Tribunal to do, according to clause (3) of The Constitution of India, when it comes to grievances within its jurisdiction?",The order authorizes the Administrative Tribunal to receive representations for the redress of grievances relating to any matter within its jurisdiction as the President may specify in the order and to make such orders thereon as the Administrative Tribunal deems fit.
What provisions can an order made under clause (3) contain regarding the powers and authorities of the Administrative Tribunal?,"The order can contain provisions with respect to the powers and authorities and procedure of the Administrative Tribunal, including provisions with respect to the powers of the Administrative Tribunal to punish for contempt of itself, as the President may deem necessary."
"What provisions with respect to the powers, authorities and procedure of the Administrative Tribunal can be included in an order made under clause (3), as deemed necessary by the President?","An order made under clause (3) can contain provisions regarding the powers and authorities of the Administrative Tribunal, including its ability to punish for contempt of itself."
What can an order made under clause (3) provide for in regards to the transfer of proceedings?,"The order can provide for the transfer to the Administrative Tribunal of such classes of proceedings, being proceedings relating to matters within its jurisdiction and pending before any court (other than the Supreme Court) or tribunal or other authority immediately before the commencement of such order."
Where can proceedings be transferred to under an order made under clause (3)?,The proceedings can be transferred to the Administrative Tribunal.
When does the Order of the Administrative Tribunal become effective?,"The Order of the Administrative Tribunal finally disposing of any case shall become effective upon its confirmation by the State Government or on the expiry of three months from the date on which the order is made, whichever is earlier."
What happens to the Order of the Administrative Tribunal after its confirmation by the State Government or after three months have passed since its creation?,The Order of the Administrative Tribunal finally disposing of any case becomes effective.
What can the State Government do before the order of the Administrative Tribunal becomes effective?,"The State Government may, by special order made in writing and for reasons to be specified therein, modify or annul any order of the Administrative Tribunal before it becomes effective."
