instruction,input,output,section,source
Summarize the following tenancy law clause.,"XVIII specified in sub-clause (iv) of clause (d) of sub-section (6) of the said section, the tenant may give the landlord a notice of his intention to occupy the premises from which he has been evicted and if the landlord does not forthwith deliver to him the vacant possession of the premises on the same terms and conditions on which he occupied them immediately before the eviction, the tenant may make an application to the court within six weeks from the date on which he delivered vacant possession of the premises to the landlord.","XVIII specified in sub-clause (iv) of clause (d) of sub-section (6) of the said section, the tenant may give the landlord a notice of his intention to occupy the premises from which he has been evicted and if the landlord does not forthwith deliver to him the vacant possession of the premises on the same terms and conditions on which he occupied them immediately before the eviction, the tenant may make an application to the court within six weeks from the date on which he delivered vacant possession of the premises to the landlord.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII specified in sub-clause (iv) of clause (d) of sub-section (6) of the said section, the tenant may give the landlord a notice of his intention to occupy the premises from which he has been evicted and if the landlord does not forthwith deliver to him the vacant possession of the premises on the same terms and conditions on which he occupied them immediately before the eviction, the tenant may make an application to the court within six weeks from the date on which he delivered vacant possession of the premises to the landlord.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"On such order being made, the landlord shall forthwith deliver vacant possession of the premises to the tenant.","On such order being made, the landlord shall forthwith deliver vacant possession of the premises to the tenant.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"On such order being made, the landlord shall forthwith deliver vacant possession of the premises to the tenant.","On such order being made, the landlord shall forthwith deliver vacant possession of the premises to the tenant.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"On such order being made, the landlord shall forthwith deliver vacant possession of the premises to the tenant.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.— (1) The landlord shall, not less than three months before the date on which the erection of the new building or, completion as the case may be, new floor or floors is likely to be completed, intimate to the tenant, the date on which the said erection shall be completed.","Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.— (1) The landlord shall, not less than three months before the date on which the erection of the new building or, completion as the case may be, new floor or floors is likely to be completed, intimate to the tenant, the date on which the said erection shall be completed.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.— (1) The landlord shall, not less than three months before the date on which the erection of the new building or, completion as the case may be, new floor or floors is likely to be completed, intimate to the tenant, the date on which the said erection shall be completed.","Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.— (1) The landlord shall, not less than three months before the date on which the erection of the new building or, completion as the case may be, new floor or floors is likely to be completed, intimate to the tenant, the date on which the said erection shall be completed.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Landlord to intimate to tenant date of completion and tenant’s right to occupy premises in new building.— (1) The landlord shall, not less than three months before the date on which the erection of the new building or, completion as the case may be, new floor or floors is likely to be completed, intimate to the tenant, the date on which the said erection shall be completed.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"On the said date, the tenant shall be entitled to occupy the premises assigned to him by the landlord.","On the said date, the tenant shall be entitled to occupy the premises assigned to him by the landlord.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"On the said date, the tenant shall be entitled to occupy the premises assigned to him by the landlord.","On the said date, the tenant shall be entitled to occupy the premises assigned to him by the landlord.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"On the said date, the tenant shall be entitled to occupy the premises assigned to him by the landlord.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,and the landlord shall be entitled to recover from the tenant a sum equal to three times the amount of the monthly standard rent in respect of the premises.,and the landlord shall be entitled to recover from the tenant a sum equal to three times the amount of the monthly standard rent in respect of the premises.,Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,and the landlord shall be entitled to recover from the tenant a sum equal to three times the amount of the monthly standard rent in respect of the premises.,and the landlord shall be entitled to recover from the tenant a sum equal to three times the amount of the monthly standard rent in respect of the premises.,Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,and the landlord shall be entitled to recover from the tenant a sum equal to three times the amount of the monthly standard rent in respect of the premises.,tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"Recovery of possession in case of tenancy created during service period.— (1) Where any landlord intends to let any premises or any part thereof belonging to him, to his employee, such","Recovery of possession in case of tenancy created during service period.— (1) Where any landlord intends to let any premises or any part thereof belonging to him, to his employee, such",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Recovery of possession in case of tenancy created during service period.— (1) Where any landlord intends to let any premises or any part thereof belonging to him, to his employee, such","Recovery of possession in case of tenancy created during service period.— (1) Where any landlord intends to let any premises or any part thereof belonging to him, to his employee, such",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Recovery of possession in case of tenancy created during service period.— (1) Where any landlord intends to let any premises or any part thereof belonging to him, to his employee, such",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"XVIII] The Maharashtra Rent Control Act, 1999 19 landlord and the employee may enter into an agreement in writing to create a service tenancy in respect of the said premises or an agreement in writing to create a service tenancy in respect of the said premises or any part thereof;","XVIII] The Maharashtra Rent Control Act, 1999 19 landlord and the employee may enter into an agreement in writing to create a service tenancy in respect of the said premises or an agreement in writing to create a service tenancy in respect of the said premises or any part thereof;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"XVIII] The Maharashtra Rent Control Act, 1999 19 landlord and the employee may enter into an agreement in writing to create a service tenancy in respect of the said premises or an agreement in writing to create a service tenancy in respect of the said premises or any part thereof;","XVIII] The Maharashtra Rent Control Act, 1999 19 landlord and the employee may enter into an agreement in writing to create a service tenancy in respect of the said premises or an agreement in writing to create a service tenancy in respect of the said premises or any part thereof;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII] The Maharashtra Rent Control Act, 1999 19 landlord and the employee may enter into an agreement in writing to create a service tenancy in respect of the said premises or an agreement in writing to create a service tenancy in respect of the said premises or any part thereof;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"and notwithstanding anything contained in this Act, the tenancy so created shall remain in force during the period of service or employment of the tenant with the landlord.","and notwithstanding anything contained in this Act, the tenancy so created shall remain in force during the period of service or employment of the tenant with the landlord.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"and notwithstanding anything contained in this Act, the tenancy so created shall remain in force during the period of service or employment of the tenant with the landlord.","and notwithstanding anything contained in this Act, the tenancy so created shall remain in force during the period of service or employment of the tenant with the landlord.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and notwithstanding anything contained in this Act, the tenancy so created shall remain in force during the period of service or employment of the tenant with the landlord.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"and on their refusal or failure to do so the Competent Authority may proceed to take action under section 45: Provided that, the Competent Authority may entertain an application under this sub-section after the expiry of the said period, if it is satisfied that the applicant was prevented by sufficient cause from making the application in time: Provided further that, where the tenant is a workman or an employee whose services are terminated and a dispute in respect of such termination is pending before a tribunal, court or any other competent authority, the order for a eviction shall not be passed until such tribunal, court or authority, under the relevant law, finally upholds the order of such termination.","and on their refusal or failure to do so the Competent Authority may proceed to take action under section 45: Provided that, the Competent Authority may entertain an application under this sub-section after the expiry of the said period, if it is satisfied that the applicant was prevented by sufficient cause from making the application in time: Provided further that, where the tenant is a workman or an employee whose services are terminated and a dispute in respect of such termination is pending before a tribunal, court or any other competent authority, the order for a eviction shall not be passed until such tribunal, court or authority, under the relevant law, finally upholds the order of such termination.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"and on their refusal or failure to do so the Competent Authority may proceed to take action under section 45: Provided that, the Competent Authority may entertain an application under this sub-section after the expiry of the said period, if it is satisfied that the applicant was prevented by sufficient cause from making the application in time: Provided further that, where the tenant is a workman or an employee whose services are terminated and a dispute in respect of such termination is pending before a tribunal, court or any other competent authority, the order for a eviction shall not be passed until such tribunal, court or authority, under the relevant law, finally upholds the order of such termination.","and on their refusal or failure to do so the Competent Authority may proceed to take action under section 45: Provided that, the Competent Authority may entertain an application under this sub-section after the expiry of the said period, if it is satisfied that the applicant was prevented by sufficient cause from making the application in time: Provided further that, where the tenant is a workman or an employee whose services are terminated and a dispute in respect of such termination is pending before a tribunal, court or any other competent authority, the order for a eviction shall not be passed until such tribunal, court or authority, under the relevant law, finally upholds the order of such termination.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and on their refusal or failure to do so the Competent Authority may proceed to take action under section 45: Provided that, the Competent Authority may entertain an application under this sub-section after the expiry of the said period, if it is satisfied that the applicant was prevented by sufficient cause from making the application in time: Provided further that, where the tenant is a workman or an employee whose services are terminated and a dispute in respect of such termination is pending before a tribunal, court or any other competent authority, the order for a eviction shall not be passed until such tribunal, court or authority, under the relevant law, finally upholds the order of such termination.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"Explanation.— For the purposes of this section, the expression “landlord” shall not include, in respect of sub-tenant, a tenant who has sub-let any premises, or in respect of a deemed tenant, a tenant at whose instance the deemed tenant has come in occupation of any premises.","Explanation.— For the purposes of this section, the expression “landlord” shall not include, in respect of sub-tenant, a tenant who has sub-let any premises, or in respect of a deemed tenant, a tenant at whose instance the deemed tenant has come in occupation of any premises.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Explanation.— For the purposes of this section, the expression “landlord” shall not include, in respect of sub-tenant, a tenant who has sub-let any premises, or in respect of a deemed tenant, a tenant at whose instance the deemed tenant has come in occupation of any premises.","Explanation.— For the purposes of this section, the expression “landlord” shall not include, in respect of sub-tenant, a tenant who has sub-let any premises, or in respect of a deemed tenant, a tenant at whose instance the deemed tenant has come in occupation of any premises.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Explanation.— For the purposes of this section, the expression “landlord” shall not include, in respect of sub-tenant, a tenant who has sub-let any premises, or in respect of a deemed tenant, a tenant at whose instance the deemed tenant has come in occupation of any premises.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"and the Competent Authority shall make an order of eviction on that ground if— (a) in the case of landlord who is a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,—","and the Competent Authority shall make an order of eviction on that ground if— (a) in the case of landlord who is a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,—",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"and the Competent Authority shall make an order of eviction on that ground if— (a) in the case of landlord who is a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,—","and the Competent Authority shall make an order of eviction on that ground if— (a) in the case of landlord who is a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,—",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and the Competent Authority shall make an order of eviction on that ground if— (a) in the case of landlord who is a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,—",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"XVIII (i) he is a member of the armed forces of the Union, or that he was such a member and has retired as such, and (ii) he does not possess any other premises suitable for residence in the local area where the premises are situated;","XVIII (i) he is a member of the armed forces of the Union, or that he was such a member and has retired as such, and (ii) he does not possess any other premises suitable for residence in the local area where the premises are situated;",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"XVIII (i) he is a member of the armed forces of the Union, or that he was such a member and has retired as such, and (ii) he does not possess any other premises suitable for residence in the local area where the premises are situated;","XVIII (i) he is a member of the armed forces of the Union, or that he was such a member and has retired as such, and (ii) he does not possess any other premises suitable for residence in the local area where the premises are situated;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII (i) he is a member of the armed forces of the Union, or that he was such a member and has retired as such, and (ii) he does not possess any other premises suitable for residence in the local area where the premises are situated;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"or (b) in the case of a landlord who is scientist, he produces a certificate signed by an officer of the Department of Atomic Energy of, or above, of the rank of Deputy Secretary to Government to the effect that,— (i) he is presently holding a scientific post in the Department of Atomic Energy or in any of its aided institutions specified in the certificate or he was holding such post and has now retired with effect from the date specified in the certificate;","or (b) in the case of a landlord who is scientist, he produces a certificate signed by an officer of the Department of Atomic Energy of, or above, of the rank of Deputy Secretary to Government to the effect that,— (i) he is presently holding a scientific post in the Department of Atomic Energy or in any of its aided institutions specified in the certificate or he was holding such post and has now retired with effect from the date specified in the certificate;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"or (b) in the case of a landlord who is scientist, he produces a certificate signed by an officer of the Department of Atomic Energy of, or above, of the rank of Deputy Secretary to Government to the effect that,— (i) he is presently holding a scientific post in the Department of Atomic Energy or in any of its aided institutions specified in the certificate or he was holding such post and has now retired with effect from the date specified in the certificate;","or (b) in the case of a landlord who is scientist, he produces a certificate signed by an officer of the Department of Atomic Energy of, or above, of the rank of Deputy Secretary to Government to the effect that,— (i) he is presently holding a scientific post in the Department of Atomic Energy or in any of its aided institutions specified in the certificate or he was holding such post and has now retired with effect from the date specified in the certificate;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"or (b) in the case of a landlord who is scientist, he produces a certificate signed by an officer of the Department of Atomic Energy of, or above, of the rank of Deputy Secretary to Government to the effect that,— (i) he is presently holding a scientific post in the Department of Atomic Energy or in any of its aided institutions specified in the certificate or he was holding such post and has now retired with effect from the date specified in the certificate;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,and (ii) he does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where the premises are situated;,and (ii) he does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where the premises are situated;,Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,and (ii) he does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where the premises are situated;,and (ii) he does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where the premises are situated;,Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,and (ii) he does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where the premises are situated;,tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,and (ii) he does not possesses any other suitable residence (excluding any residential accommodation provided by Government or Public Sector Undertaking) in the local area where the premises are situated;,and (ii) he does not possesses any other suitable residence (excluding any residential accommodation provided by Government or Public Sector Undertaking) in the local area where the premises are situated;,Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,and (ii) he does not possesses any other suitable residence (excluding any residential accommodation provided by Government or Public Sector Undertaking) in the local area where the premises are situated;,and (ii) he does not possesses any other suitable residence (excluding any residential accommodation provided by Government or Public Sector Undertaking) in the local area where the premises are situated;,Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,and (ii) he does not possesses any other suitable residence (excluding any residential accommodation provided by Government or Public Sector Undertaking) in the local area where the premises are situated;,tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Interpret this legal clause related to tenancy law.,"and the Competent Authority shall make an order of eviction on that ground if,— (a) in the case of the successor-in-interest of a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,— (i) a successor-in-interest is a widow or any other member of the family of the deceased member of the armed forces of the Union, who died while in service on the date specified in the certificate (or of a member of the armed forces of the Union who has retired and who died within five years of his retirement on the date specified in the certificate);","and the Competent Authority shall make an order of eviction on that ground if,— (a) in the case of the successor-in-interest of a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,— (i) a successor-in-interest is a widow or any other member of the family of the deceased member of the armed forces of the Union, who died while in service on the date specified in the certificate (or of a member of the armed forces of the Union who has retired and who died within five years of his retirement on the date specified in the certificate);",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"and the Competent Authority shall make an order of eviction on that ground if,— (a) in the case of the successor-in-interest of a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,— (i) a successor-in-interest is a widow or any other member of the family of the deceased member of the armed forces of the Union, who died while in service on the date specified in the certificate (or of a member of the armed forces of the Union who has retired and who died within five years of his retirement on the date specified in the certificate);","and the Competent Authority shall make an order of eviction on that ground if,— (a) in the case of the successor-in-interest of a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,— (i) a successor-in-interest is a widow or any other member of the family of the deceased member of the armed forces of the Union, who died while in service on the date specified in the certificate (or of a member of the armed forces of the Union who has retired and who died within five years of his retirement on the date specified in the certificate);",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and the Competent Authority shall make an order of eviction on that ground if,— (a) in the case of the successor-in-interest of a member of the armed forces of the Union, he produces a certificate signed by the authorised officer to the effect that,— (i) a successor-in-interest is a widow or any other member of the family of the deceased member of the armed forces of the Union, who died while in service on the date specified in the certificate (or of a member of the armed forces of the Union who has retired and who died within five years of his retirement on the date specified in the certificate);",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,and (ii) such a successor-in-interest does not possess any other premises suitable for residence in the local area where such premises are situated;,and (ii) such a successor-in-interest does not possess any other premises suitable for residence in the local area where such premises are situated;,Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,and (ii) such a successor-in-interest does not possess any other premises suitable for residence in the local area where such premises are situated;,and (ii) such a successor-in-interest does not possess any other premises suitable for residence in the local area where such premises are situated;,Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,and (ii) such a successor-in-interest does not possess any other premises suitable for residence in the local area where such premises are situated;,tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"XVIII] The Maharashtra Rent Control Act, 1999 21 (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where such premises situated;","XVIII] The Maharashtra Rent Control Act, 1999 21 (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where such premises situated;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"XVIII] The Maharashtra Rent Control Act, 1999 21 (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where such premises situated;","XVIII] The Maharashtra Rent Control Act, 1999 21 (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where such premises situated;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"XVIII] The Maharashtra Rent Control Act, 1999 21 (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government) in the local area where such premises situated;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,and (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government or the Public Sector Undertaking) in the local area where such premises are situated.,and (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government or the Public Sector Undertaking) in the local area where such premises are situated.,Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,and (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government or the Public Sector Undertaking) in the local area where such premises are situated.,and (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government or the Public Sector Undertaking) in the local area where such premises are situated.,Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,and (ii) such successor-in-interest does not possess any other suitable residence (excluding any residential accommodation provided by Government or the Public Sector Undertaking) in the local area where such premises are situated.,tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"Landlord entitled to recover possession of premises given on licence on expiry.— (1) Notwithstanding anything contained in this Act, a licensee, in possession or occupation of premises given to him on license for residence shall deliver possession of such premises to the landlord on expiry of the period of licence;","Landlord entitled to recover possession of premises given on licence on expiry.— (1) Notwithstanding anything contained in this Act, a licensee, in possession or occupation of premises given to him on license for residence shall deliver possession of such premises to the landlord on expiry of the period of licence;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Landlord entitled to recover possession of premises given on licence on expiry.— (1) Notwithstanding anything contained in this Act, a licensee, in possession or occupation of premises given to him on license for residence shall deliver possession of such premises to the landlord on expiry of the period of licence;","Landlord entitled to recover possession of premises given on licence on expiry.— (1) Notwithstanding anything contained in this Act, a licensee, in possession or occupation of premises given to him on license for residence shall deliver possession of such premises to the landlord on expiry of the period of licence;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Landlord entitled to recover possession of premises given on licence on expiry.— (1) Notwithstanding anything contained in this Act, a licensee, in possession or occupation of premises given to him on license for residence shall deliver possession of such premises to the landlord on expiry of the period of licence;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"and on the failure of the licensee to so deliver the possession of the licensed premises, a landlord shall be entitled to recover possession of such premises from a licensee, on the expiry of the period of licence, by making an application to the Competent Authority, and the Competent Authority, on being satisfied that the period of licence has expired, shall pass an order for eviction of a licensee.","and on the failure of the licensee to so deliver the possession of the licensed premises, a landlord shall be entitled to recover possession of such premises from a licensee, on the expiry of the period of licence, by making an application to the Competent Authority, and the Competent Authority, on being satisfied that the period of licence has expired, shall pass an order for eviction of a licensee.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"and on the failure of the licensee to so deliver the possession of the licensed premises, a landlord shall be entitled to recover possession of such premises from a licensee, on the expiry of the period of licence, by making an application to the Competent Authority, and the Competent Authority, on being satisfied that the period of licence has expired, shall pass an order for eviction of a licensee.","and on the failure of the licensee to so deliver the possession of the licensed premises, a landlord shall be entitled to recover possession of such premises from a licensee, on the expiry of the period of licence, by making an application to the Competent Authority, and the Competent Authority, on being satisfied that the period of licence has expired, shall pass an order for eviction of a licensee.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"and on the failure of the licensee to so deliver the possession of the licensed premises, a landlord shall be entitled to recover possession of such premises from a licensee, on the expiry of the period of licence, by making an application to the Competent Authority, and the Competent Authority, on being satisfied that the period of licence has expired, shall pass an order for eviction of a licensee.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"Explanation.— For the purposes of this section,— (a) the expression “landlord” includes a successor-in-interest who becomes the landlord of the premises as a result of death of such landlord;","Explanation.— For the purposes of this section,— (a) the expression “landlord” includes a successor-in-interest who becomes the landlord of the premises as a result of death of such landlord;",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Explanation.— For the purposes of this section,— (a) the expression “landlord” includes a successor-in-interest who becomes the landlord of the premises as a result of death of such landlord;","Explanation.— For the purposes of this section,— (a) the expression “landlord” includes a successor-in-interest who becomes the landlord of the premises as a result of death of such landlord;",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Explanation.— For the purposes of this section,— (a) the expression “landlord” includes a successor-in-interest who becomes the landlord of the premises as a result of death of such landlord;",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,but does not include a tenant or a sub-tenant who has given premises on license;,but does not include a tenant or a sub-tenant who has given premises on license;,Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,but does not include a tenant or a sub-tenant who has given premises on license;,but does not include a tenant or a sub-tenant who has given premises on license;,Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,but does not include a tenant or a sub-tenant who has given premises on license;,tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Simplify the following tenancy law provision.,"Certain Sub-tenants to become tenants on determination of tenancy.— When the interest of a tenant of any premises is determined for any reason, any sub-tenant to whom the premises or any part thereof have been lawfully sub-let and such sub-tenancy is subsisting on the date of commencement of this Act or where sub-tenancy is permitted by a contract between the landlord and the tenant, such sub-tenant shall, subject to the provisions of this Act, be deemed to become the tenant of his landlord on the same terms and conditions as he would have held from the tenant if the tenancy had continued.","Certain Sub-tenants to become tenants on determination of tenancy.— When the interest of a tenant of any premises is determined for any reason, any sub-tenant to whom the premises or any part thereof have been lawfully sub-let and such sub-tenancy is subsisting on the date of commencement of this Act or where sub-tenancy is permitted by a contract between the landlord and the tenant, such sub-tenant shall, subject to the provisions of this Act, be deemed to become the tenant of his landlord on the same terms and conditions as he would have held from the tenant if the tenancy had continued.",Section 18,eng_maharashtra_rent_control_ac.pdf
Provide a short summary of this legal provision.,"Certain Sub-tenants to become tenants on determination of tenancy.— When the interest of a tenant of any premises is determined for any reason, any sub-tenant to whom the premises or any part thereof have been lawfully sub-let and such sub-tenancy is subsisting on the date of commencement of this Act or where sub-tenancy is permitted by a contract between the landlord and the tenant, such sub-tenant shall, subject to the provisions of this Act, be deemed to become the tenant of his landlord on the same terms and conditions as he would have held from the tenant if the tenancy had continued.","Certain Sub-tenants to become tenants on determination of tenancy.— When the interest of a tenant of any premises is determined for any reason, any sub-tenant to whom the premises or any part thereof have been lawfully sub-let and such sub-tenancy is subsisting on the date of commencement of this Act or where sub-tenancy is permitted by a contract between the landlord and the tenant, such sub-tenant shall, subject to the provisions of this Act, be deemed to become the tenant of his landlord on the same terms and conditions as he would have held from the tenant if the tenancy had continued.",Section 18,eng_maharashtra_rent_control_ac.pdf
Identify the legal topic of the following clause.,"Certain Sub-tenants to become tenants on determination of tenancy.— When the interest of a tenant of any premises is determined for any reason, any sub-tenant to whom the premises or any part thereof have been lawfully sub-let and such sub-tenancy is subsisting on the date of commencement of this Act or where sub-tenancy is permitted by a contract between the landlord and the tenant, such sub-tenant shall, subject to the provisions of this Act, be deemed to become the tenant of his landlord on the same terms and conditions as he would have held from the tenant if the tenancy had continued.",tenancy law,Section 18,eng_maharashtra_rent_control_ac.pdf
Explain the following tenancy law clause in simple terms.,"State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.— (1) On the 7th December 1996, that is the date of coming into force of Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.— (1) On the 7th December 1996, that is the date of coming into force of Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
Summarize the following tenancy law clause.,"State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.— (1) On the 7th December 1996, that is the date of coming into force of Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.","State Government or Government allottee to become tenant of premises requisitioned or continued under requisition.— (1) On the 7th December 1996, that is the date of coming into force of Bombay Rents, Hotel and Lodging House Rates Control, Bombay Land Requisition and Bombay Government Premises (Eviction) (Amendment) Act, 1996 (Mah.",Section 18,eng_maharashtra_rent_control_ac.pdf
